Value
-182.32958124994394
-197.57663687792842
-181.46171317812335
-186.8371506165884
-187.6844394501494
-178.49905234773507
-189.5157748723978
-191.15665376767987
-170.06061610222787
-179.5528259380738
-176.48912319331413
-177.25107640808955
-179.36792820543693
-176.33166021484882
-182.57586230678473
-177.97118557977478
-179.36511660934832
-192.26474068303756
-172.54573365806695
-179.14212641897421
