Value
-35.5
-30.5
-34.5
-35.5
-32.5
-34.5
-34.5
-32.5
-36.5
-32.5
-33.5
-28.5
-31.5
-31.5
-32.5
-33.5
-33.5
-30.5
-26.5
-33.5
