Value
-58.5
-61.5
-62.5
-62.5
-59.5
-59.5
-59.5
-55.5
-60.5
-60.5
-59.5
-60.5
-64.5
-64.5
-62.5
-61.5
-67.5
-61.5
-61.5
-60.5
