Value
-119.0
-109.0
-113.0
-114.0
-114.0
-111.0
-115.0
-117.0
-107.0
-107.0
-121.0
-119.0
-121.0
-110.0
-110.0
-115.0
-112.0
-112.0
-111.0
-107.0
