Value
-42.5
-46.5
-44.5
-42.5
-49.5
-43.5
-42.5
-46.5
-48.5
-50.5
-43.5
-47.5
-46.5
-44.5
-42.5
-46.5
-45.5
-46.5
-49.5
-48.5
