Value
-69.75263177151353
-74.24361088689045
-87.29697104527077
-79.85976621605664
-82.21788041194726
-77.73837983924349
-81.7227111948157
-78.30250523278036
-79.15026539770042
-80.45212172149388
-82.00421816929378
-76.53666515508587
-79.21345788998255
-81.68931482782675
-88.39805172078454
-80.32054046021412
-75.27417771992094
-68.62617484215882
-75.08516312852538
-76.04811418231954
