"Values from columns 4, ..., 4+p-1 are optimized gamma_1, ...,  gamma_p. Values from column 4+p, ..., 4+2p-1 are optimized beta_1, ..., beta_p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,p,optimal nu^q_p,params,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0.3033,0.5,0.3927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.4075,0.3817,0.6655,0.496,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,0.4726,0.3297,0.5688,0.6406,0.55,0.3675,0.2109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,0.5157,0.295,0.5144,0.5586,0.6429,0.571,0.4176,0.3028,0.1729,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,0.5476,0.2705,0.4804,0.5074,0.5646,0.6397,0.5899,0.4492,0.3559,0.2643,0.1486,,,,,,,,,,,,,,,,,,,,,,,,
2,6,0.5721,0.2528,0.4531,0.475,0.5146,0.565,0.6392,0.6004,0.467,0.388,0.3176,0.2325,0.1291,,,,,,,,,,,,,,,,,,,,,,
2,7,0.5915,0.2383,0.4327,0.4516,0.483,0.5147,0.5686,0.6393,0.6085,0.4809,0.409,0.3534,0.2857,0.208,0.1146,,,,,,,,,,,,,,,,,,,,
2,8,0.6073,0.2268,0.4162,0.4332,0.4608,0.4818,0.5179,0.5717,0.6393,0.6151,0.4906,0.4244,0.378,0.3224,0.2606,0.1884,0.103,,,,,,,,,,,,,,,,,,
2,9,0.6203,0.2172,0.402,0.4187,0.4438,0.4592,0.4837,0.5212,0.5754,0.6398,0.6196,0.4973,0.4353,0.3956,0.3481,0.2973,0.239,0.1717,0.0934,,,,,,,,,,,,,,,,
2,10,0.6314,0.2089,0.3902,0.4066,0.4305,0.4423,0.4604,0.4858,0.5256,0.5789,0.6402,0.6235,0.5029,0.4437,0.4092,0.3673,0.3246,0.2758,0.2208,0.1578,0.0855,,,,,,,,,,,,,,
2,11,0.6408,0.2019,0.3799,0.3963,0.4196,0.4291,0.4431,0.4611,0.4895,0.5299,0.582,0.6405,0.6268,0.507,0.4502,0.4196,0.3822,0.3451,0.3036,0.2571,0.2051,0.1459,0.0788,,,,,,,,,,,,
2,12,0.649,0.1958,0.3707,0.3875,0.4103,0.4185,0.4297,0.443,0.4639,0.4933,0.5343,0.5851,0.641,0.6293,0.5102,0.4553,0.4275,0.3937,0.3612,0.3248,0.2849,0.2406,0.1913,0.1356,0.0731,,,,,,,,,,
2,13,0.6561,0.1903,0.3627,0.3797,0.4024,0.4096,0.4191,0.429,0.445,0.4668,0.4975,0.5385,0.5878,0.6414,0.6315,0.513,0.4594,0.434,0.4028,0.374,0.3417,0.3068,0.2684,0.226,0.1792,0.1266,0.0681,,,,,,,,
