Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,235.779999,237.070007,232.809998,235.639999,193.525909,2931000
2018-01-03,235.070007,235.729996,233.289993,235.630005,193.517715,2193700
2018-01-04,237.000000,239.440002,236.470001,238.710007,196.047211,2243100
2018-01-05,238.649994,240.899994,237.740005,240.570007,197.574783,1835900
2018-01-08,239.380005,240.940002,239.179993,239.789993,196.934204,1869000
2018-01-09,239.600006,241.779999,239.339996,241.279999,198.157867,1695100
2018-01-10,241.000000,242.570007,240.029999,241.139999,198.042938,1640900
2018-01-11,240.740005,242.339996,239.750000,242.309998,199.003799,1487700
2018-01-12,243.070007,246.000000,242.500000,244.470001,200.777786,1974300
2018-01-16,245.300003,247.190002,243.830002,244.740005,200.999512,2411100
2018-01-17,246.850006,248.529999,245.800003,248.110001,203.767212,2519000
2018-01-18,248.130005,249.000000,244.919998,245.910004,201.960419,2233500
2018-01-19,246.630005,248.500000,245.600006,248.179993,203.824722,2013500
2018-01-22,247.130005,247.889999,245.080002,247.300003,203.101990,1660500
2018-01-23,246.910004,247.259995,245.119995,246.309998,202.288940,1822700
2018-01-24,247.990005,248.539993,246.250000,247.690002,203.422287,3471000
2018-01-25,250.000000,254.800003,247.100006,252.360001,207.257660,3507900
2018-01-26,253.429993,259.769989,253.389999,258.630005,212.407074,3730600
2018-01-29,258.510010,259.339996,255.970001,256.010010,210.255325,2306300
2018-01-30,255.600006,255.690002,251.410004,251.539993,206.584213,2412600
2018-01-31,251.490005,253.130005,249.600006,250.500000,205.730103,3136400
2018-02-01,247.440002,250.089996,246.179993,247.940002,203.627625,2665500
2018-02-02,246.429993,248.750000,244.880005,245.169998,201.352692,3925700
2018-02-05,243.500000,244.399994,226.009995,231.440002,190.076508,6590500
2018-02-06,227.509995,234.570007,226.809998,233.630005,191.875137,5108100
2018-02-07,233.190002,237.520004,232.820007,233.190002,191.513779,2885600
2018-02-08,233.160004,233.309998,222.649994,222.889999,183.054596,3751300
2018-02-09,224.610001,226.960007,218.179993,225.210007,184.959976,4518600
2018-02-12,227.490005,230.380005,226.100006,229.190002,188.228622,3290400
2018-02-13,229.710007,231.970001,228.929993,231.360001,190.010834,2523600
2018-02-14,229.449997,232.869995,228.470001,232.000000,190.536453,2337800
2018-02-15,233.309998,234.899994,230.880005,234.869995,194.030899,2127500
2018-02-16,234.970001,238.440002,233.389999,236.669998,195.517960,2221800
2018-02-20,234.539993,236.669998,233.910004,235.070007,194.196182,2675900
2018-02-21,234.710007,237.860001,232.100006,232.179993,191.808685,2561400
2018-02-22,232.429993,237.369995,232.259995,236.000000,194.964447,2284500
2018-02-23,236.850006,237.889999,234.389999,237.020004,195.807098,1616700
2018-02-26,239.009995,244.860001,238.509995,244.139999,201.689087,3086800
2018-02-27,244.610001,244.669998,240.720001,240.779999,198.913315,1778300
2018-02-28,241.639999,242.279999,235.399994,235.509995,194.559662,2461400
2018-03-01,236.149994,236.830002,229.529999,231.339996,191.114700,3487100
2018-03-02,229.750000,231.270004,226.330002,230.369995,190.313385,2912800
2018-03-05,230.000000,233.710007,228.529999,232.809998,192.329147,2235300
2018-03-06,234.050003,235.919998,230.800003,233.660004,193.031326,2091100
2018-03-07,231.220001,236.220001,230.589996,235.570007,194.609207,2213800
2018-03-08,236.350006,237.690002,234.119995,236.339996,195.245346,1955200
2018-03-09,238.000000,241.369995,236.169998,241.350006,199.384201,1840900
2018-03-12,242.100006,243.100006,239.300003,239.800003,198.103729,2151300
2018-03-13,240.899994,242.970001,236.889999,237.570007,196.261475,2009900
2018-03-14,238.800003,239.320007,233.850006,234.289993,193.551773,2239700
2018-03-15,235.220001,238.080002,234.199997,235.869995,194.857056,1770500
2018-03-16,235.669998,238.169998,235.669998,237.220001,195.972321,4858000
2018-03-19,236.009995,236.330002,230.259995,231.559998,191.296509,2621700
2018-03-20,232.119995,234.389999,231.580002,232.449997,192.031708,1728000
2018-03-21,233.000000,237.220001,232.309998,234.139999,193.427872,1588300
2018-03-22,232.039993,232.119995,222.800003,223.169998,184.365311,4295500
2018-03-23,223.500000,224.270004,215.270004,215.360001,177.913330,4221200
2018-03-26,217.860001,220.800003,215.179993,220.240005,181.944763,3574000
2018-03-27,221.020004,221.860001,214.729996,215.869995,178.334641,2696700
2018-03-28,217.229996,219.660004,214.910004,216.539993,178.888138,2522900
2018-03-29,217.789993,221.380005,217.460007,219.520004,181.349991,2643000
2018-04-02,218.050003,218.720001,209.470001,212.619995,175.649780,3840800
2018-04-03,213.000000,216.460007,210.929993,216.330002,178.714661,3006800
2018-04-04,212.389999,217.919998,211.119995,217.559998,179.730804,2488800
2018-04-05,218.639999,220.309998,216.559998,218.669998,180.647781,2879900
2018-04-06,217.399994,218.850006,211.000000,212.250000,175.344070,2503900
2018-04-09,213.750000,216.860001,212.399994,212.809998,175.806732,2186100
2018-04-10,215.320007,218.710007,215.229996,216.979996,179.251633,2857400
2018-04-11,214.199997,215.889999,213.500000,214.330002,177.062439,1819800
2018-04-12,215.720001,217.679993,215.009995,216.419998,178.789017,2292900
2018-04-13,218.089996,218.679993,214.460007,215.520004,178.045486,2034500
2018-04-16,217.199997,219.270004,216.589996,217.699997,179.846420,2060500
2018-04-17,219.149994,221.690002,218.740005,220.089996,181.820847,1853500
2018-04-18,220.389999,221.009995,219.160004,219.520004,181.349991,1599300
2018-04-19,218.039993,219.300003,217.029999,218.850006,180.796478,1453100
2018-04-20,218.410004,220.279999,216.740005,217.750000,179.887741,2634300
2018-04-23,218.020004,218.729996,214.750000,215.880005,178.342941,2520700
2018-04-24,206.500000,206.500000,196.889999,201.130005,166.157608,11671400
2018-04-25,201.100006,201.750000,197.009995,198.839996,164.265839,6205400
2018-04-26,198.679993,199.630005,196.169998,197.089996,162.820145,4124300
2018-04-27,196.770004,197.110001,194.399994,196.119995,162.018768,3354800
2018-04-30,196.960007,198.339996,194.179993,194.389999,160.589569,4008700
2018-05-01,194.029999,195.539993,191.440002,195.020004,161.110016,4710500
2018-05-02,195.149994,196.410004,194.020004,194.500000,160.680435,4017600
2018-05-03,194.520004,196.699997,192.350006,195.679993,161.655273,3425900
2018-05-04,195.070007,199.929993,194.059998,199.360001,164.695374,3071700
2018-05-07,200.059998,201.000000,199.580002,200.259995,165.438919,2863400
