Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,107.629997,108.019997,106.809998,107.949997,91.977737,13578800
2018-01-03,107.860001,108.489998,107.480003,108.059998,92.071457,11901000
2018-01-04,108.360001,110.029999,108.199997,109.040001,93.390434,12953700
2018-01-05,109.260002,109.550003,107.779999,108.339996,92.790909,14155000
2018-01-08,108.150002,108.680000,107.699997,108.500000,92.927940,12466500
2018-01-09,108.720001,109.629997,108.489998,109.050003,93.399010,13292300
2018-01-10,109.470001,110.699997,109.389999,110.250000,94.426765,15834500
2018-01-11,110.669998,110.930000,110.050003,110.839996,94.932098,13676800
2018-01-12,111.650002,112.849998,110.839996,112.669998,96.499466,18884200
2018-01-16,111.510002,113.430000,111.070000,112.269997,96.156868,22703300
2018-01-17,111.889999,113.300003,111.309998,112.989998,96.773529,14940300
2018-01-18,112.760002,113.720001,112.269997,113.260002,97.004784,14572900
2018-01-19,113.940002,114.339996,112.800003,113.010002,96.790665,18785500
2018-01-22,112.660004,114.389999,112.500000,114.330002,97.921211,12475700
2018-01-23,113.669998,114.639999,113.349998,114.209999,97.818420,12320800
2018-01-24,114.860001,116.000000,114.660004,115.669998,99.068893,15904500
2018-01-25,116.040001,116.169998,115.080002,115.699997,99.094597,13510000
2018-01-26,115.699997,116.320000,114.959999,116.320000,99.625618,13883900
2018-01-29,116.019997,117.349998,116.019997,116.199997,99.522827,11679900
2018-01-30,115.529999,116.599998,114.980003,115.110001,98.589264,14279100
2018-01-31,115.650002,116.660004,115.160004,115.669998,99.068893,13141400
2018-02-01,115.769997,116.989998,115.480003,116.870003,100.096680,13800600
2018-02-02,116.489998,116.919998,114.089996,114.279999,97.878395,16477300
2018-02-05,113.000000,114.589996,103.980003,108.800003,93.184891,30097600
2018-02-06,106.849998,112.480003,106.610001,112.110001,96.019821,33114800
2018-02-07,111.550003,114.449997,111.150002,112.870003,96.670769,21878300
2018-02-08,113.110001,113.110001,107.839996,107.879997,92.396935,27425800
2018-02-09,109.099998,111.050003,106.230003,110.040001,94.246925,28188000
2018-02-12,111.169998,112.730003,110.070000,111.739998,95.702919,18043300
2018-02-13,111.320000,113.050003,110.800003,112.430000,96.293915,16358200
2018-02-14,112.629997,115.269997,112.529999,115.029999,98.520744,15186900
2018-02-15,115.739998,115.989998,114.220001,115.510002,98.931854,12130200
2018-02-16,114.550003,116.070000,114.500000,114.680000,98.220978,13214300
2018-02-20,114.650002,115.389999,113.970001,114.709999,98.246658,13461500
2018-02-21,115.000000,117.449997,114.669998,115.190002,98.657776,14212500
2018-02-22,115.500000,116.430000,114.760002,114.980003,98.477928,17070400
2018-02-23,115.309998,117.389999,115.309998,117.309998,100.473503,12162500
2018-02-26,118.139999,118.900002,117.320000,118.769997,101.723976,16511200
2018-02-27,118.910004,119.330002,117.349998,117.360001,100.516350,17563300
2018-02-28,117.820000,118.489998,115.339996,115.500000,98.923302,17735600
2018-03-01,115.480003,116.639999,112.650002,113.430000,97.150383,18690000
2018-03-02,112.389999,113.559998,111.120003,113.320000,97.056183,18353700
2018-03-05,112.050003,115.930000,111.889999,115.059998,98.546432,13933000
2018-03-06,115.639999,115.820000,114.320000,115.160004,98.632088,10674400
2018-03-07,113.750000,115.099998,113.110001,114.730003,98.263824,13006500
2018-03-08,115.110001,115.230003,113.209999,114.739998,98.272369,11173700
2018-03-09,116.550003,118.080002,115.669998,118.040001,101.098755,15366600
