Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,99.300003,99.790001,98.519997,98.589996,89.268623,10150500
2018-01-03,98.849998,100.000000,98.769997,99.449997,90.047318,8903600
2018-01-04,99.540001,99.779999,98.910004,99.540001,90.128784,6830400
2018-01-05,99.639999,100.379997,99.610001,100.129997,90.663010,7284000
2018-01-08,100.250000,101.750000,100.209999,101.610001,92.003090,8843900
2018-01-09,102.029999,102.349998,100.309998,100.389999,90.898422,7312700
2018-01-10,99.750000,99.889999,98.529999,99.669998,90.246483,7930400
2018-01-11,99.699997,100.449997,98.779999,100.019997,90.563400,6537700
2018-01-12,100.389999,101.440002,100.300003,100.870003,91.333061,6951200
2018-01-16,101.339996,101.910004,100.339996,100.690002,91.170059,7170700
2018-01-17,101.150002,102.940002,100.699997,102.699997,92.990036,8681900
2018-01-18,104.739998,104.940002,103.620003,104.300003,94.438751,12307900
2018-01-19,104.639999,104.930000,103.660004,104.589996,94.701347,8378600
2018-01-22,104.500000,105.449997,104.040001,105.449997,95.480019,7308300
2018-01-23,105.290001,106.150002,104.570000,105.900002,95.887474,8287800
2018-01-24,106.349998,106.440002,104.820000,105.790001,95.787872,6823100
2018-01-25,105.849998,106.809998,105.849998,106.599998,96.521294,5857100
2018-01-26,107.000000,108.410004,106.680000,108.389999,98.142059,6786300
2018-01-29,108.110001,109.980003,107.989998,109.550003,99.192383,8355200
2018-01-30,109.139999,109.360001,107.150002,107.730003,97.544441,9180500
2018-01-31,107.769997,108.180000,106.070000,106.599998,96.521294,9812800
2018-02-01,105.959999,106.559998,105.180000,105.519997,95.543396,6386800
2018-02-02,105.150002,106.470001,104.150002,104.480003,94.601746,9253100
2018-02-05,103.400002,104.610001,97.089996,100.089996,90.626816,12561600
2018-02-06,97.639999,101.080002,97.250000,100.900002,91.360222,16413800
2018-02-07,100.500000,104.589996,100.010002,102.849998,93.125832,11165200
2018-02-08,103.230003,103.480003,100.000000,100.019997,90.563400,13975100
2018-02-09,100.529999,101.099998,96.430000,99.370003,89.974861,14184600
2018-02-12,100.129997,100.449997,98.800003,99.550003,90.137863,9135100
2018-02-13,99.330002,101.220001,99.330002,100.980003,91.432648,6622800
2018-02-14,100.860001,102.250000,100.209999,101.699997,92.084572,7307600
2018-02-15,102.550003,103.639999,101.830002,103.230003,93.469917,7494900
2018-02-16,103.089996,104.940002,101.980003,104.779999,94.873367,16064300
2018-02-20,96.989998,97.940002,94.099998,94.110001,85.212196,52088500
2018-02-21,95.110001,95.339996,91.239998,91.519997,82.867073,49503700
2018-02-22,91.430000,93.389999,91.309998,92.769997,83.998871,20365000
2018-02-23,92.879997,93.489998,91.760002,92.889999,84.107552,12791500
2018-02-26,92.900002,93.800003,92.220001,93.120003,84.315788,14699300
2018-02-27,93.629997,93.720001,91.510002,91.519997,82.867073,13376100
2018-02-28,92.000000,92.099998,90.000000,90.010002,81.499832,14143700
2018-03-01,90.169998,90.180000,87.709999,89.080002,80.657761,18909600
2018-03-02,87.269997,88.900002,87.239998,88.769997,80.377075,19043400
2018-03-05,88.139999,90.500000,88.070000,89.980003,81.472656,13383200
2018-03-06,90.349998,90.500000,88.629997,89.059998,80.639656,11054700
2018-03-07,87.980003,88.529999,87.339996,87.739998,79.444443,11453000
2018-03-08,87.769997,88.129997,87.339996,87.919998,80.082039,9588700
2018-03-09,88.239998,88.720001,87.529999,88.720001,80.810738,9754400
2018-03-12,88.699997,89.440002,87.879997,88.070000,80.218681,8474000
2018-03-13,88.389999,88.900002,87.980003,88.300003,80.428185,7173000
2018-03-14,88.510002,88.989998,87.500000,87.669998,79.854324,11040600
2018-03-15,87.680000,88.790001,85.900002,87.510002,79.708588,16615200
2018-03-16,87.720001,90.089996,87.500000,89.169998,81.220612,28396000
2018-03-19,88.910004,89.080002,87.099998,87.449997,79.653923,12053400
2018-03-20,87.860001,88.150002,87.370003,87.949997,80.109360,8258000
2018-03-21,87.889999,89.680000,87.680000,88.180000,80.318871,11836000
2018-03-22,87.529999,88.269997,86.989998,87.139999,79.371590,12248200
2018-03-23,87.349998,87.690002,85.279999,85.419998,77.804901,10125100
2018-03-26,86.220001,87.690002,86.110001,87.500000,79.699486,9199800
2018-03-27,87.959999,88.040001,85.480003,86.050003,78.378754,6545800
2018-03-28,86.260002,88.239998,86.190002,87.769997,79.945412,11576300
2018-03-29,87.900002,89.339996,87.769997,88.970001,81.038437,9274600
2018-04-02,88.000000,88.239998,84.839996,85.550003,77.923325,19128900
2018-04-03,86.250000,86.949997,85.550003,86.800003,79.061905,9695500
2018-04-04,85.599998,87.500000,85.440002,87.220001,79.444450,6536600
2018-04-05,87.599998,88.349998,87.050003,87.809998,79.981842,6380900
2018-04-06,86.830002,87.900002,86.129997,86.690002,78.961716,6350000
2018-04-09,86.849998,87.449997,86.239998,86.279999,78.588242,8368100
2018-04-10,86.839996,87.099998,85.660004,86.449997,78.743080,9127400
2018-04-11,86.000000,86.860001,85.800003,85.910004,78.251244,6279000
2018-04-12,86.190002,86.830002,85.410004,85.430000,77.814011,6856300
