Value
-31.0
-31.5
-34.5
-33.0
-28.5
-33.0
-25.0
-32.5
-39.5
-31.5
-31.5
-38.5
-34.5
-32.0
-34.0
-25.5
-35.0
-34.0
-36.0
-31.0
