Value
-71.5
-62.0
-85.5
-73.0
-71.0
-77.0
-70.0
-85.5
-66.0
-81.0
-66.0
-81.5
-68.0
-80.0
-73.0
-81.5
-80.0
-69.0
-79.0
-67.5
