Value
-34.02802621114033
-35.08685198993874
-29.85506604832164
-36.578197263518845
-35.0676738191457
-35.21847774806744
-34.697398247203026
-30.0738669291118
-32.83239626434283
-32.43329391225227
-33.89582634381567
-29.479961823887173
-33.41473241259964
-34.02269035404586
-30.53444992297972
-34.35410603618186
-31.50581472585133
-31.860490784958465
-38.16090215698044
-31.486022585730677
